site_name,site_code,site_type,receivers,rt_site_type,point_y,point_x,use17_18,use18_19,use19_20,ptagis_rkm,rt_rkm
Upper Lemhi RST,LEMTRP,rst,"NA","NA",44.869203,-113.625139,FALSE,FALSE,TRUE,522.303.416.049,274.044
Hayden RST,HYDTRP,rst,"NA","NA",44.861395,-113.632059,FALSE,FALSE,TRUE,522.303.416.049.001,274.043.001
Lower Lemhi RST,LLRTP,rst,"NA","NA",45.1595,-113.8331,TRUE,TRUE,TRUE,522.303.416.007,247.006
Pahsimeroi RST,PAHTRP,rst,"NA","NA",44.684526,-114.040473,FALSE,TRUE,FALSE,522.303.489.002,335.002
Below Confluence,BC,rt_fixed,BC1,pod,44.88264,-113.62936,FALSE,FALSE,TRUE,"NA",274.042
Top Channelized,TC,rt_fixed,TC1,pod,44.9831,-113.647095,FALSE,FALSE,TRUE,"NA",274.031
End Channelized,EC,rt_fixed,EC1,pod,45.01691,-113.65719,FALSE,FALSE,TRUE,"NA",274.028
Snook Spot,SS,rt_fixed,SS1,pod,45.04245,-113.6767,FALSE,FALSE,TRUE,"NA",274.025
Eagle Valley Ranch Upper,EU,rt_fixed,EU1,pod,45.100087,-113.726042,FALSE,FALSE,TRUE,"NA",274.018
Eagle Valley Ranch Lower,EL,rt_fixed,"EL1, ES1",pod,45.11501,-113.77392,FALSE,FALSE,TRUE,"NA",274.013
Lane Field,LF,rt_fixed,LF1,pod,45.15777,-113.82239,FALSE,FALSE,TRUE,"NA",274.007
Diversion,DD,rt_fixed,DD1,trailer,45.16014,-113.83905,FALSE,FALSE,TRUE,"NA",274.005
Deer Gulch,DG,rt_fixed,DG1,pod,44.70072,-114.04404,FALSE,TRUE,FALSE,"NA",333
Kilpatrick,KP,rt_fixed,KP1,pod,44.90962,-113.96426,FALSE,TRUE,FALSE,"NA",305
Cement Plant,DC,rt_fixed,"DC1, DC2",pod,45.1710059778,-113.910351732,TRUE,TRUE,TRUE,"NA",276
Lemhi Hole,LH,rt_fixed,"LH1, LH2",pod,45.1863794169,-113.891305307,TRUE,TRUE,TRUE,"NA",274.000
Carmen Creek,CA,rt_fixed,CA1,pod,45.231564,-113.894692,FALSE,TRUE,FALSE,"NA",269
Morgan Bar,MB,rt_fixed,"MB1, MB2",pod,45.25307,-113.90602,TRUE,FALSE,TRUE,"NA",267
Tower Rock,TR,rt_fixed,"TR1, TR2",pod,45.3109427049,-113.906460821,TRUE,TRUE,TRUE,"NA",261
Red Rock,RR,rt_fixed,"RR1, RR2",pod,45.34618,-113.92242,TRUE,TRUE,FALSE,"NA",257
Bobcat Gulch,BG,rt_fixed,"BG1, BG2",pod,45.36096,-113.96332,TRUE,FALSE,FALSE,"NA",251
North Fork,NF,rt_fixed,"NF1, NF2",trailer,45.39552,-113.97883,TRUE,TRUE,TRUE,"NA",247
Below Deadwater,DW,rt_fixed,"DW1, DW2",pod,45.37977,-114.07088,TRUE,TRUE,TRUE,"NA",239
Salmon River Ranch,LR,rt_fixed,"LR1, LR2",trailer,45.4038,-114.215816667,TRUE,TRUE,TRUE,"NA",226
Colson Creek,SR,rt_fixed,"SR1, SR2",trailer,45.3006449395,-114.534407924,TRUE,TRUE,TRUE,"NA",195
Corn Creek,CC,rt_fixed,"CC1, CC2",trailer,45.36977,-114.68715,TRUE,TRUE,TRUE,"NA",179
Yellowpine Bar,YP,rt_fixed,YP1,pod,45.543717,-115.249965,FALSE,TRUE,TRUE,"NA",127
Vinegar Creek,VC,rt_fixed,"VC1, VC2",trailer,45.4595545882,-115.892754331,TRUE,TRUE,FALSE,"NA",066
Shorts Bar,SB,rt_fixed,"SB1, SB2",pod,45.4134276866,-116.302723699,TRUE,TRUE,FALSE,"NA",030
Twin Bridges,TB,rt_fixed,"BR1, BR2, TB1, TB2",pod,45.660486266,-116.292271928,TRUE,TRUE,FALSE,522.303.103,000
Lower Lemhi River,LLR,pit_array,"NA","NA",45.176475,-113.885278,TRUE,TRUE,TRUE,522.303.416.001,274.001
Eagle Valley Ranch - Lower,EVL,pit_array,"NA","NA",45.115074,-113.774021,FALSE,FALSE,TRUE,522.303.416.016,274.013
Eagle Valley Ranch S3A,S3A,pit_array,"NA","NA",45.11317,-113.7556,FALSE,FALSE,TRUE,522.303.416.016,274.015
Eagle Valley Ranch S3B,S3B,pit_array,"NA","NA",45.11277,-113.74987,FALSE,FALSE,TRUE,522.303.416.017,274.015
Bohannon Creek Lemhi R Basin,BHC,pit_array,"NA","NA",45.112189,-113.746897,TRUE,TRUE,TRUE,522.303.416.017.001,274.015.001
Lemhi Sub-reach 2 SC Outlet,S2O,pit_array,"NA","NA",45.111257,-113.746418,TRUE,TRUE,TRUE,522.303.416.018,274.015
Lemhi Sub-reach 2 SC Inlet,S2I,pit_array,"NA","NA",45.109457,-113.742696,TRUE,TRUE,TRUE,522.303.416.017,274.016
Eagle Valley Ranch - Upper,EVU,pit_array,"NA","NA",45.100087,-113.726042,FALSE,FALSE,TRUE,522.303.416.020,274.018
"Wimpey Creek, Lemhi R. Basin",WPC,pit_array,"NA","NA",45.097938,-113.720497,TRUE,FALSE,FALSE,522.303.416.020.001,274.018.001
Kenney Creek In-stream Arrays,KEN,pit_array,"NA","NA",45.026792,-113.654847,TRUE,TRUE,TRUE,522.303.416.029.000,274.027.001
"Agency Creek, Lemhi R. Basin",AGC,pit_array,"NA","NA",44.956739,-113.639543,FALSE,FALSE,FALSE,522.303.416.039.001,274.033.001
Lemhi River Weir,LRW,pit_array,"NA","NA",44.86596003,-113.624721,TRUE,TRUE,TRUE,522.303.416.050,274.045
Hayden Creek In-stream Array,HYC,pit_array,"NA","NA",44.861654,-113.631937,TRUE,TRUE,TRUE,522.303.416.049.001,274.043.001
Upper Salmon River at rkm 437,USE,pit_array,"NA","NA",45.02853,-113.916319,TRUE,TRUE,TRUE,522.303.437,291
Upper Salmon River at rkm 460,USI,pit_array,"NA","NA",44.889763,-113.964145,TRUE,TRUE,TRUE,522.303.460,309
