season,radio_tag_id,pit_tag_id,tag_id,srr,length,weight,tag_purpose,release_site,duty_cycle,activation_time,release_time,notes
18_19,2240B,3DD.0077707E73,2240,11W,121,19.899999999999999,fish,LLRTP,batch_1,2018-10-22T22:48:06Z,2018-10-31T00:30:00Z,"NA"
18_19,2245B,3DD.00776F999E,2245,11W,112,14.2,fish,LLRTP,batch_1,2018-10-31T15:07:35Z,2018-10-31T23:45:00Z,"NA"
18_19,2250B,3DD.00776EA758,2250,11W,115,14.1,fish,LLRTP,batch_1,2018-10-22T22:44:37Z,2018-10-31T00:30:00Z,"NA"
18_19,2255B,3DD.00776E9D9D,2255,11W,118,15.6,fish,LLRTP,batch_1,2018-10-31T14:56:25Z,2018-10-31T23:45:00Z,"NA"
18_19,2260B,3DD.00776EDE86,2260,11W,123,17.100000000000001,fish,LLRTP,batch_1,2018-10-22T22:43:43Z,2018-10-31T00:30:00Z,"NA"
18_19,2265B,3DD.00776F7B8D,2265,11W,113,14.4,fish,LLRTP,batch_1,2018-10-31T15:00:13Z,2018-10-31T23:45:00Z,"NA"
18_19,2270B,3DD.00776F99A9,2270,11W,111,14.5,fish,LLRTP,batch_1,2018-10-22T22:41:50Z,2018-10-31T23:45:00Z,"NA"
18_19,2275B,3DD.00776FD341,2275,11W,117,16.8,fish,LLRTP,batch_1,2018-10-22T22:52:09Z,2018-10-24T01:00:00Z,"NA"
18_19,2280B,3DD.00776FCA1C,2280,11W,112,14.5,fish,LLRTP,batch_1,2018-10-31T14:59:45Z,2018-10-31T23:45:00Z,"NA"
18_19,2285B,3DD.0077703DBF,2285,11W,114,13.7,fish,LLRTP,batch_1,2018-10-31T15:01:31Z,2018-10-31T23:45:00Z,"NA"
18_19,2290B,3DD.00776F3FB2,2290,11W,108,12.8,fish,LLRTP,batch_1,2018-10-22T22:39:40Z,2018-10-29T00:00:00Z,"NA"
18_19,2295B,3DD.00776F7D87,2295,11W,112,14.6,fish,LLRTP,batch_1,2018-10-31T15:04:49Z,2018-10-31T23:45:00Z,"NA"
18_19,2300B,3DD.00776F624F,2300,11W,130,17.5,fish,LLRTP,batch_1,2018-10-22T22:42:21Z,2018-10-31T00:30:00Z,"NA"
18_19,2305B,3DD.00776F2590,2305,11W,114,14.9,fish,LLRTP,batch_1,2018-10-22T22:34:20Z,2018-10-29T00:00:00Z,"NA"
18_19,2310B,3DD.00776F6D9F,2310,11W,113,14.7,fish,PAHTRP,batch_1,2018-10-22T22:37:30Z,2018-10-29T23:45:00Z,"NA"
18_19,2320B,3DD.00776EB5FE,2320,11W,120,16.399999999999999,fish,LLRTP,batch_2,2018-10-22T12:57:03Z,2018-10-31T00:30:00Z,"NA"
18_19,2325B,3DD.007770992F,2325,11W,115,13.9,fish,LLRTP,batch_2,2018-10-22T12:39:58Z,2018-10-29T00:00:00Z,"NA"
18_19,2330B,3DD.0077703E2F,2330,11W,120,17.5,fish,LLRTP,batch_2,2018-10-22T12:57:19Z,2018-10-31T00:30:00Z,"NA"
18_19,2335B,3DD.00776FA47A,2335,11W,127,19.5,fish,LLRTP,batch_2,2018-10-22T12:45:37Z,2018-10-24T01:00:00Z,"NA"
18_19,2340B,3DD.0077709CC4,2340,11W,108,11.9,fish,LLRTP,batch_2,2018-10-22T12:58:14Z,2018-10-31T23:45:00Z,"NA"
18_19,2345B,3DD.00776EC106,2345,11W,109,13.5,fish,LLRTP,batch_2,2018-10-22T13:01:59Z,2018-10-31T00:30:00Z,"NA"
18_19,2350B,3DD.0077708EC3,2350,11W,112,15.5,fish,LLRTP,batch_2,2018-10-22T12:46:04Z,2018-10-24T01:00:00Z,"NA"
18_19,2355B,3DD.00776EB419,2355,11W,117,15.9,fish,LLRTP,batch_2,2018-10-22T12:55:07Z,2018-10-31T23:45:00Z,"NA"
18_19,2360B,3DD.00776F90B1,2360,11W,118,15.7,fish,LLRTP,batch_2,2018-10-22T12:43:00Z,2018-10-31T00:30:00Z,"NA"
18_19,2365B,3DD.00776F68AE,2365,11W,117,17.3,fish,LLRTP,batch_2,2018-10-22T12:39:12Z,2018-10-31T00:30:00Z,"NA"
18_19,2375B,3DD.0077701520,2375,11W,119,17.8,fish,LLRTP,batch_3,2018-10-21T22:54:58Z,2018-10-23T01:00:00Z,"NA"
18_19,2380B,3DD.00776F618B,2380,11W,124,22.5,fish,LLRTP,batch_3,2018-10-21T22:54:30Z,2018-10-23T01:00:00Z,"NA"
18_19,2385B,3DD.00776F3933,2385,11W,114,14.8,fish,LLRTP,batch_3,2018-10-21T22:59:25Z,2018-10-23T01:00:00Z,"NA"
18_19,2390B,3DD.00776ECBA7,2390,11W,116,17.100000000000001,fish,LLRTP,batch_3,2018-10-21T23:23:03Z,2018-10-23T01:00:00Z,"NA"
18_19,2395B,3DD.00776F05B9,2395,11W,108,12.9,fish,LLRTP,batch_3,2018-10-21T23:00:40Z,2018-10-23T01:00:00Z,"NA"
18_19,2405B,3DD.00776F759D,2405,11W,109,14.6,fish,LLRTP,batch_3,2018-10-21T23:17:29Z,2018-10-23T01:00:00Z,"NA"
18_19,2410B,3DD.0077700960,2410,11W,124,17.100000000000001,fish,LLRTP,batch_3,2018-10-21T23:18:56Z,2018-10-23T01:00:00Z,"NA"
18_19,2415B,3DD.007770D0C0,2415,11W,117,16.399999999999999,fish,LLRTP,batch_3,2018-10-21T23:11:21Z,2018-10-23T01:00:00Z,"NA"
18_19,2420B,3DD.007770225A,2420,11W,106,12.7,fish,LLRTP,batch_3,2018-10-21T22:55:45Z,2018-10-23T01:00:00Z,"NA"
18_19,5240B,3DD.00776E823B,5240,11W,122,20.2,fish,LLRTP,batch_1,2018-10-31T15:05:28Z,2018-10-31T23:45:00Z,"NA"
18_19,5245B,3DD.0077707E3B,5245,11W,120,17,fish,LLRTP,batch_1,2018-10-22T22:46:27Z,2018-10-31T00:00:00Z,"NA"
18_19,5250B,3DD.00776E8F28,5250,11W,114,15.6,fish,PAHTRP,batch_1,2018-10-22T22:36:32Z,2018-10-29T23:45:00Z,"NA"
18_19,5255B,3DD.0077BB9964,5255,11W,127,20,fish,LLRTP,batch_1,2018-10-31T15:14:16Z,2018-10-31T23:45:00Z,"NA"
18_19,5260B,3DD.00776FBC8A,5260,11W,108,12.4,fish,LLRTP,batch_1,2018-10-22T22:49:16Z,2018-10-31T00:00:00Z,"NA"
18_19,5265B,3DD.00776FCA92,5265,11W,115,15.3,fish,LLRTP,batch_1,2018-10-22T22:50:40Z,2018-10-24T01:00:00Z,"NA"
18_19,5270B,3DD.00776E86EC,5270,11W,115,14.6,fish,LLRTP,batch_1,2018-10-22T22:48:19Z,2018-10-24T01:00:00Z,"NA"
18_19,5275B,3DD.00776F8827,5275,11W,126,18.2,fish,LLRTP,batch_1,2018-10-31T15:01:52Z,2018-10-31T23:45:00Z,"NA"
18_19,5280B,3DD.0077706888,5280,11W,109,14.1,fish,LLRTP,batch_1,2018-10-31T15:05:09Z,2018-10-31T23:45:00Z,"NA"
18_19,5285B,3DD.00776F4BE5,5285,11W,118,16.2,fish,LLRTP,batch_1,2018-10-22T22:46:40Z,2018-10-31T23:45:00Z,"NA"
18_19,5290B,3DD.0077700951,5290,11W,116,13.8,fish,LLRTP,batch_1,2018-10-22T22:35:34Z,2018-10-29T00:00:00Z,"NA"
18_19,5295B,3DD.00776F26A9,5295,11W,112,14.7,fish,LLRTP,batch_1,2018-10-22T22:54:17Z,2018-10-24T01:00:00Z,"NA"
18_19,5300B,3DD.00776F539E,5300,11W,113,13.5,fish,LLRTP,batch_1,2018-10-22T22:53:51Z,2018-10-24T01:00:00Z,"NA"
18_19,5300B,"NA",5300,"NA","NA","NA",test,"NA",batch_1,2018-10-21T22:29:10Z,NA,Missing from test jar in basement
18_19,5305B,3DD.00776F88E3,5305,11W,118,16.5,fish,LLRTP,batch_1,2018-10-22T22:55:10Z,2018-10-25T01:00:00Z,"NA"
18_19,5310B,3DD.007770C5AA,5310,11W,118,15.9,fish,LLRTP,batch_1,2018-10-22T22:55:50Z,2018-10-31T00:00:00Z,"NA"
18_19,5315B,3DD.00776E99F0,5315,11W,130,22.7,fish,LLRTP,batch_1,2018-10-31T15:04:30Z,2018-10-31T23:45:00Z,"NA"
18_19,5325B,3DD.00776FA3AB,5325,11W,119,17.899999999999999,fish,LLRTP,batch_2,2018-10-22T12:51:37Z,2018-10-31T00:30:00Z,"NA"
18_19,5330B,3DD.00776F4C06,5330,11W,112,14.5,fish,LLRTP,batch_2,2018-10-22T12:44:10Z,2018-10-31T00:30:00Z,"NA"
18_19,5335B,3DD.00776F0458,5335,11W,113,13.7,fish,LLRTP,batch_2,2018-10-22T12:53:50Z,2018-10-31T23:45:00Z,"NA"
18_19,5345B,3DD.007770B220,5345,11W,108,13.1,fish,LLRTP,batch_2,2018-10-22T12:54:22Z,2018-10-31T00:30:00Z,"NA"
18_19,5350B,3DD.00776F62A0,5350,11W,110,17.2,fish,LLRTP,batch_2,2018-10-22T12:55:40Z,2018-10-31T23:45:00Z,"NA"
18_19,5355B,3DD.00776F2DA6,5355,11W,110,13.5,fish,LLRTP,batch_2,2018-10-22T12:58:29Z,2018-10-31T23:45:00Z,"NA"
18_19,5365B,3DD.0077709A90,5365,11W,118,17.2,fish,LLRTP,batch_2,2018-10-22T12:54:06Z,2018-10-31T23:45:00Z,"NA"
18_19,5370B,3DD.007770C1C9,5370,11W,121,17.7,fish,LLRTP,batch_3,2018-10-21T22:57:26Z,2018-10-23T01:00:00Z,"NA"
18_19,5375B,3DD.00777015EE,5375,11W,124,20.6,fish,LLRTP,batch_3,2018-10-21T23:14:49Z,2018-10-23T01:00:00Z,"NA"
18_19,5380B,3DD.007770F7B1,5380,11W,115,17.7,fish,LLRTP,batch_3,2018-10-21T23:08:06Z,2018-10-23T01:00:00Z,"NA"
18_19,5385B,3DD.007770C291,5385,11W,110,12.2,fish,LLRTP,batch_3,2018-10-21T23:11:48Z,2018-10-31T23:45:00Z,"NA"
18_19,5390B,3DD.00776FA6AF,5390,11W,119,19.3,fish,LLRTP,batch_3,2018-10-21T22:56:55Z,2018-10-23T01:00:00Z,"NA"
18_19,5395B,3DD.00776F51A8,5395,11W,109,13.9,fish,LLRTP,batch_3,2018-10-21T22:48:26Z,2018-10-23T01:00:00Z,"NA"
18_19,5405B,3DD.00776FA478,5405,11W,110,15.1,fish,LLRTP,batch_3,2018-10-21T22:43:01Z,2018-10-23T01:00:00Z,Duplicate Tag. Missing tag 5340B. Made one of tags a test tag
18_19,5405B,"NA",5405,"NA","NA","NA",test,"NA",batch_3,2018-10-21T22:44:00Z,NA,Duplicate Tag. Missing tag 5340B. Made one of tags a test tag
18_19,5410B,3DD.00776EB350,5410,11W,112,13.4,fish,LLRTP,batch_3,2018-10-21T22:56:26Z,2018-10-31T23:45:00Z,"NA"
18_19,5415B,3DD.00776F5CBE,5415,11W,117,15.4,fish,LLRTP,batch_3,2018-10-21T23:05:33Z,2018-10-23T01:00:00Z,"NA"
18_19,5420B,3DD.007770A3FF,5420,11W,110,14.6,fish,LLRTP,batch_3,2018-10-21T23:05:06Z,2018-10-23T01:00:00Z,"NA"
18_19,8240B,3DD.00776F9972,8240,11W,107,13.2,fish,PAHTRP,batch_1,2018-10-22T22:42:06Z,2018-10-29T23:45:00Z,"NA"
18_19,8245B,3DD.00776FEBCD,8245,11W,131,23.6,fish,LLRTP,batch_1,2018-10-22T22:57:48Z,2018-10-24T01:00:00Z,"NA"
18_19,8250B,3DD.00776F7BB6,8250,11W,111,13.9,fish,LLRTP,batch_1,2018-10-22T22:56:44Z,2018-10-31T23:45:00Z,"NA"
18_19,8260B,3DD.00776F5B38,8260,11W,116,16.100000000000001,fish,LLRTP,batch_1,2018-10-22T22:48:34Z,2018-10-31T00:30:00Z,"NA"
18_19,8265B,3DD.00776F5489,8265,11W,117,14.3,fish,LLRTP,batch_1,2018-10-22T22:52:37Z,2018-10-24T01:00:00Z,"NA"
18_19,8270B,3DD.00776F417D,8270,11W,120,17.600000000000001,fish,LLRTP,batch_1,2018-10-31T15:00:48Z,2018-10-31T23:45:00Z,"NA"
18_19,8280B,3DD.0077BBA4BB,8280,11W,107,13.2,fish,LLRTP,batch_1,2018-10-31T15:14:36Z,2018-10-31T23:45:00Z,"NA"
18_19,8285B,3DD.00776F6C77,8285,11W,125,20.6,fish,LLRTP,batch_1,2018-10-22T22:54:44Z,2018-10-25T01:00:00Z,"NA"
18_19,8290B,3DD.00777065B4,8290,11W,112,11.8,fish,LLRTP,batch_1,2018-10-22T22:58:14Z,2018-10-31T23:45:00Z,"NA"
18_19,8295B,3DD.0077B01C9C,8295,11W,116,16.2,fish,LLRTP,batch_1,NA,2018-10-31T23:45:00Z,"NA"
18_19,8300B,3DD.0077702FE0,8300,11W,115,15.2,fish,LLRTP,batch_1,2018-10-31T15:02:50Z,2018-10-31T23:45:00Z,"NA"
18_19,8305B,3DD.0077BC001C,8305,11W,108,13.8,fish,LLRTP,batch_1,NA,2018-10-31T23:45:00Z,"NA"
18_19,8310B,3DD.00776F8BC1,8310,11W,110,13.7,fish,LLRTP,batch_1,2018-10-31T15:04:10Z,2018-10-31T23:45:00Z,"NA"
18_19,8315B,3DD.00776FE0A3,8315,11W,107,12.1,fish,LLRTP,batch_1,2018-10-22T22:45:04Z,2018-10-31T23:45:00Z,"NA"
18_19,8320B,3DD.0077706CB6,8320,11W,122,18.399999999999999,fish,LLRTP,batch_2,2018-10-22T12:50:54Z,2018-10-31T00:30:00Z,"NA"
18_19,8325B,3DD.0077706A90,8325,11W,109,12.6,fish,LLRTP,batch_2,2018-10-22T12:38:55Z,2018-10-31T00:30:00Z,"NA"
18_19,8330B,3DD.00776F5387,8330,11W,114,17.2,fish,LLRTP,batch_2,2018-10-22T12:58:59Z,2018-10-25T01:00:00Z,"NA"
18_19,8335B,3DD.00776F5282,8335,11W,113,15,fish,LLRTP,batch_2,2018-10-22T12:40:20Z,2018-10-31T00:30:00Z,"NA"
18_19,8345B,3DD.00776E97AB,8345,11W,117,14.4,fish,LLRTP,batch_2,2018-10-22T12:48:54Z,2018-10-24T01:00:00Z,"NA"
18_19,8350B,3DD.007770E6F7,8350,11W,122,19.8,fish,LLRTP,batch_2,2018-10-22T12:51:53Z,2018-10-31T23:45:00Z,"NA"
18_19,8355B,3DD.00776EA3FC,8355,11W,110,13.8,fish,LLRTP,batch_2,2018-10-22T12:43:16Z,2018-10-31T00:30:00Z,"NA"
18_19,8360B,3DD.00777053E9,8360,11W,117,18.399999999999999,fish,LLRTP,batch_2,2018-10-22T13:02:13Z,2018-10-25T01:00:00Z,"NA"
18_19,8365B,3DD.00776F97D3,8365,11W,112,13.2,fish,LLRTP,batch_2,2018-10-22T12:55:23Z,2018-10-31T23:45:00Z,"NA"
18_19,8370B,3DD.00776EA20D,8370,11W,126,20.6,fish,LLRTP,batch_3,2018-10-21T23:16:42Z,2018-10-31T23:45:00Z,"NA"
18_19,8375B,3DD.0077706543,8375,11W,122,21.4,fish,LLRTP,batch_3,2018-10-21T23:19:51Z,2018-10-23T01:00:00Z,"NA"
18_19,8380B,3DD.00776F43FD,8380,11W,112,15.4,fish,LLRTP,batch_3,2018-10-21T23:14:16Z,2018-10-23T01:00:00Z,"NA"
18_19,8385B,3DD.007770261E,8385,11W,110,14,fish,LLRTP,batch_3,2018-10-21T23:07:39Z,2018-10-23T01:00:00Z,"NA"
18_19,8390B,3DD.00776E8DA6,8390,11W,122,19.899999999999999,fish,LLRTP,batch_3,2018-10-21T23:15:54Z,2018-10-23T01:00:00Z,"NA"
18_19,8395B,3DD.00776FE0D4,8395,11W,117,17.7,fish,LLRTP,batch_3,2018-10-21T23:21:28Z,2018-10-23T01:00:00Z,"NA"
18_19,8405B,3DD.00776EA716,8405,11W,114,16.399999999999999,fish,LLRTP,batch_3,2018-10-21T23:02:45Z,2018-10-23T01:00:00Z,"NA"
18_19,8410B,3DD.0077702552,8410,11W,113,15.4,fish,LLRTP,batch_3,2018-10-21T23:07:11Z,2018-10-23T01:00:00Z,"NA"
18_19,8415B,3DD.00776FECE6,8415,11W,113,15.9,fish,LLRTP,batch_3,2018-10-21T23:22:10Z,2018-10-23T01:00:00Z,"NA"
